epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7017.48,1.49973,2.17613,1.58893,0.60129,0.56198,0.5761,0.27759,1.57304,2.06429,1.67176,0.000475049,0.000475049,0.000475049
2,13625.5,1.49565,1.69397,1.59914,0.49446,0.603,0.54089,0.26141,1.56595,1.81192,1.66499,0.000904289,0.000904289,0.000904289
3,19513.8,1.47805,1.58618,1.59309,0.55137,0.45293,0.49381,0.24688,1.67896,2.10169,1.75017,0.00128637,0.00128637,0.00128637
4,25411.6,1.44333,1.50409,1.57434,0.55925,0.58938,0.58851,0.29403,1.52205,1.62278,1.60993,0.00121679,0.00121679,0.00121679
5,31895,1.4033,1.42796,1.54666,0.64628,0.6214,0.66222,0.36663,1.41353,1.37729,1.52504,0.00114606,0.00114606,0.00114606
6,38327.7,1.37062,1.35984,1.52482,0.66871,0.62988,0.68031,0.3691,1.37905,1.27381,1.50278,0.00107532,0.00107532,0.00107532
7,45005.2,1.33954,1.31486,1.5013,0.66304,0.64227,0.68864,0.39033,1.34552,1.2502,1.48316,0.00100459,0.00100459,0.00100459
8,51633.4,1.3209,1.26554,1.48247,0.6932,0.68564,0.73918,0.4257,1.2865,1.17384,1.42417,0.000933851,0.000933851,0.000933851
9,92611.2,1.2938,1.23837,1.46632,0.71429,0.7089,0.7585,0.45521,1.28411,1.11162,1.42445,0.000863116,0.000863116,0.000863116
10,98857.6,1.26315,1.19003,1.44702,0.69415,0.69403,0.73415,0.40645,1.29952,1.09867,1.43299,0.00079238,0.00079238,0.00079238
11,105144,1.28069,1.10336,1.48386,0.69398,0.69717,0.74771,0.44355,1.27553,1.07993,1.41987,0.000721645,0.000721645,0.000721645
12,110746,1.24915,1.04878,1.46403,0.73322,0.71327,0.77621,0.48112,1.21408,1.00665,1.37474,0.000650909,0.000650909,0.000650909
13,116499,1.22922,1.01947,1.45389,0.72214,0.71062,0.76515,0.47186,1.23987,1.02176,1.4091,0.000580174,0.000580174,0.000580174
14,121868,1.19505,0.9738,1.4291,0.73756,0.72002,0.78392,0.49499,1.20139,0.98051,1.36832,0.000509438,0.000509438,0.000509438
15,134026,1.17578,0.94716,1.41617,0.74462,0.7539,0.80883,0.52145,1.15805,0.92626,1.3342,0.000438703,0.000438703,0.000438703
16,140233,1.14395,0.90504,1.3866,0.77986,0.72738,0.80988,0.52571,1.15163,0.90601,1.31752,0.000367967,0.000367967,0.000367967
17,146489,1.12801,0.87361,1.37985,0.78505,0.72676,0.81875,0.53154,1.13851,0.88013,1.31895,0.000297232,0.000297232,0.000297232
18,152463,1.10207,0.85081,1.36401,0.78271,0.74151,0.81537,0.53421,1.12234,0.86958,1.30407,0.000226497,0.000226497,0.000226497
19,158444,1.07953,0.81144,1.3458,0.77501,0.7565,0.81858,0.5364,1.12208,0.86115,1.29853,0.000155761,0.000155761,0.000155761
20,164420,1.05406,0.78618,1.33038,0.78962,0.75546,0.83057,0.55435,1.08578,0.83099,1.2772,8.50255e-05,8.50255e-05,8.50255e-05
