epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3843.97,1.48498,2.19769,1.58902,0.59516,0.56376,0.58142,0.28471,1.52218,1.88776,1.58545,0.000475049,0.000475049,0.000475049
2,7649.63,1.45761,1.68463,1.54152,0.60806,0.58144,0.60918,0.30454,1.56625,1.65572,1.6105,0.000904289,0.000904289,0.000904289
3,13296,1.45962,1.57669,1.53769,0.55981,0.62655,0.60314,0.31012,1.54763,1.59255,1.60615,0.00128637,0.00128637,0.00128637
4,17381.9,1.43754,1.49993,1.52152,0.60045,0.58499,0.60786,0.30433,1.49033,1.5105,1.57657,0.00121679,0.00121679,0.00121679
5,28752.4,1.39508,1.41337,1.48356,0.60526,0.60052,0.6209,0.32282,1.50455,1.47745,1.59036,0.00114606,0.00114606,0.00114606
6,33580.8,1.36359,1.37244,1.46683,0.64904,0.65208,0.68998,0.39077,1.37644,1.28063,1.44895,0.00107532,0.00107532,0.00107532
7,37957.2,1.33683,1.32828,1.45144,0.67196,0.64934,0.6962,0.37578,1.3834,1.30212,1.45003,0.00100459,0.00100459,0.00100459
8,42720.8,1.317,1.29521,1.43275,0.66163,0.66268,0.72132,0.41478,1.38254,1.25571,1.44271,0.000933851,0.000933851,0.000933851
9,47040,1.31146,1.26697,1.42511,0.70818,0.67981,0.7375,0.42508,1.34715,1.14904,1.40667,0.000863116,0.000863116,0.000863116
10,52333.8,1.27876,1.24293,1.41005,0.67779,0.68051,0.70914,0.39046,1.31145,1.14928,1.39028,0.00079238,0.00079238,0.00079238
11,57479.6,1.29594,1.14802,1.45483,0.70483,0.68825,0.74518,0.45284,1.26175,1.10648,1.36076,0.000721645,0.000721645,0.000721645
12,62601.1,1.2589,1.08852,1.42239,0.73203,0.67538,0.75172,0.44957,1.26299,1.12046,1.36791,0.000650909,0.000650909,0.000650909
13,67766.4,1.24921,1.06921,1.41598,0.74262,0.71521,0.77827,0.48041,1.25252,1.04849,1.35187,0.000580174,0.000580174,0.000580174
14,72912.4,1.217,1.03389,1.39011,0.71254,0.71726,0.77757,0.49009,1.20675,1.04783,1.32794,0.000509438,0.000509438,0.000509438
15,78059,1.18595,0.99317,1.37035,0.77224,0.72876,0.80333,0.50937,1.18825,0.95796,1.31174,0.000438703,0.000438703,0.000438703
16,83200.1,1.17439,0.96068,1.36611,0.74691,0.74581,0.80647,0.50747,1.19992,0.97883,1.31198,0.000367967,0.000367967,0.000367967
17,87590.8,1.14694,0.92433,1.34064,0.76085,0.73115,0.79907,0.50818,1.17482,0.93395,1.29042,0.000297232,0.000297232,0.000297232
18,91845.3,1.12312,0.89639,1.32845,0.78046,0.73828,0.81001,0.521,1.1623,0.91518,1.28529,0.000226497,0.000226497,0.000226497
19,96034.5,1.10064,0.86882,1.3128,0.77642,0.75362,0.81719,0.52522,1.14958,0.89523,1.27391,0.000155761,0.000155761,0.000155761
20,100369,1.08493,0.8455,1.30072,0.79976,0.73798,0.82668,0.54223,1.1248,0.87103,1.25971,8.50255e-05,8.50255e-05,8.50255e-05
