iter	Passed	Remaining
0	171	171261
1	183	91774
2	194	64691
3	204	51043
4	215	42880
5	225	37416
6	237	33654
7	248	30811
8	262	28858
9	273	27092
10	285	25673
11	296	24428
12	313	23833
13	327	23079
14	343	22572
15	356	21916
16	368	21328
17	382	20869
18	395	20429
19	409	20070
20	425	19858
21	441	19626
22	460	19578
23	482	19618
24	499	19465
25	519	19463
26	537	19364
27	557	19347
28	575	19278
29	595	19241
30	613	19162
31	629	19055
32	644	18896
33	659	18728
34	673	18555
35	687	18421
36	703	18304
37	717	18165
38	732	18057
39	747	17941
40	763	17866
41	777	17735
42	792	17633
43	810	17607
44	825	17520
45	844	17504
46	864	17524
47	880	17458
48	895	17378
49	912	17332
50	927	17251
51	943	17194
52	962	17190
53	977	17127
54	992	17052
55	1007	16985
56	1023	16924
57	1038	16866
58	1055	16830
59	1072	16801
60	1090	16781
61	1119	16932
62	1146	17059
63	1171	17129
64	1196	17205
65	1218	17242
66	1236	17217
67	1251	17157
68	1267	17107
69	1283	17058
70	1300	17010
71	1314	16938
72	1329	16881
73	1346	16849
74	1362	16802
75	1378	16760
76	1395	16726
77	1411	16687
78	1426	16626
79	1443	16598
80	1459	16556
81	1477	16539
82	1493	16505
83	1511	16485
84	1529	16465
85	1545	16427
86	1560	16377
87	1583	16406
88	1601	16393
89	1626	16450
90	1645	16437
91	1664	16423
92	1681	16399
93	1697	16361
94	1713	16327
95	1731	16301
96	1746	16262
97	1761	16210
98	1778	16183
99	1793	16138
100	1809	16103
101	1825	16067
102	1840	16028
103	1856	15995
104	1872	15961
105	1890	15940
106	1906	15908
107	1922	15877
108	1937	15833
109	1951	15788
110	1963	15729
111	1979	15698
112	1998	15685
113	2011	15631
114	2030	15627
115	2042	15564
116	2054	15502
117	2070	15473
118	2094	15507
119	2121	15557
120	2138	15532
121	2154	15507
122	2172	15493
123	2202	15563
124	2219	15534
125	2234	15499
126	2249	15463
127	2263	15417
128	2275	15366
129	2289	15321
130	2308	15314
131	2324	15282
132	2337	15239
133	2351	15198
134	2363	15141
135	2375	15088
136	2390	15057
137	2403	15010
138	2417	14973
139	2431	14939
140	2453	14946
141	2467	14911
142	2486	14904
143	2509	14918
144	2521	14865
145	2535	14829
146	2549	14791
147	2566	14773
148	2578	14729
149	2590	14680
150	2602	14629
151	2617	14601
152	2629	14557
153	2641	14511
154	2653	14465
155	2664	14418
156	2676	14371
157	2687	14322
158	2698	14272
159	2709	14224
160	2720	14179
161	2731	14128
162	2742	14082
163	2753	14036
164	2764	13991
165	2775	13946
166	2787	13903
167	2798	13859
168	2809	13813
169	2821	13776
170	2832	13733
171	2843	13689
172	2854	13644
173	2866	13609
174	2877	13567
175	2889	13528
176	2900	13487
177	2915	13463
178	2926	13420
179	2937	13381
180	2953	13365
181	2964	13325
182	2976	13288
183	2990	13263
184	3002	13228
185	3015	13195
186	3027	13161
187	3038	13123
188	3049	13087
189	3061	13049
190	3071	13008
191	3082	12973
192	3093	12936
193	3105	12901
194	3116	12865
195	3128	12833
196	3142	12810
197	3154	12776
198	3167	12750
199	3178	12714
200	3189	12678
201	3200	12643
202	3215	12625
203	3227	12595
204	3238	12559
205	3251	12531
206	3262	12497
207	3273	12464
208	3284	12429
209	3295	12397
210	3309	12374
211	3321	12347
212	3334	12321
213	3347	12295
214	3360	12269
215	3373	12243
216	3386	12219
217	3399	12195
218	3410	12164
219	3422	12135
220	3433	12104
221	3445	12073
222	3456	12042
223	3469	12017
224	3482	11995
225	3494	11966
226	3506	11939
227	3517	11908
228	3528	11879
229	3540	11852
230	3551	11823
231	3564	11800
232	3575	11770
233	3586	11740
234	3597	11711
235	3609	11685
236	3621	11660
237	3634	11636
238	3647	11613
239	3658	11584
240	3669	11558
241	3680	11529
242	3692	11502
243	3703	11474
244	3714	11447
245	3725	11419
246	3736	11390
247	3749	11368
248	3760	11340
249	3771	11315
250	3783	11289
251	3794	11262
252	3805	11236
253	3817	11212
254	3828	11185
255	3839	11159
256	3850	11132
257	3862	11107
258	3873	11082
259	3884	11057
260	3897	11034
261	3907	11007
262	3921	10988
263	3932	10963
264	3944	10939
265	3955	10914
266	3968	10894
267	3979	10869
268	3992	10850
269	4004	10826
270	4014	10799
271	4025	10773
272	4038	10753
273	4049	10729
274	4059	10703
275	4072	10681
276	4083	10657
277	4093	10632
278	4104	10606
279	4115	10582
280	4127	10561
281	4138	10536
282	4149	10512
283	4160	10488
284	4171	10464
285	4182	10440
286	4194	10419
287	4205	10397
288	4217	10375
289	4229	10353
290	4240	10331
291	4257	10323
292	4271	10307
293	4283	10285
294	4294	10262
295	4305	10240
296	4317	10218
297	4328	10196
298	4339	10174
299	4350	10152
300	4362	10130
301	4373	10108
302	4386	10091
303	4397	10067
304	4408	10045
305	4419	10024
306	4430	10002
307	4444	9985
308	4459	9973
309	4474	9958
310	4488	9944
311	4505	9935
312	4519	9920
313	4533	9904
314	4547	9889
315	4562	9875
316	4576	9860
317	4589	9843
318	4602	9825
319	4615	9807
320	4626	9785
321	4637	9764
322	4648	9742
323	4659	9720
324	4670	9699
325	4682	9681
326	4693	9659
327	4706	9642
328	4718	9623
329	4730	9605
330	4741	9584
331	4752	9562
332	4763	9541
333	4776	9524
334	4787	9503
335	4798	9482
336	4809	9462
337	4820	9440
338	4830	9419
339	4841	9399
340	4852	9378
341	4863	9357
342	4874	9336
343	4886	9318
344	4898	9299
345	4908	9278
346	4920	9260
347	4931	9239
348	4942	9219
349	4955	9202
350	4966	9182
351	4977	9162
352	4988	9143
353	5000	9124
354	5010	9104
355	5023	9086
356	5035	9069
357	5047	9052
358	5060	9036
359	5073	9019
360	5086	9002
361	5098	8986
362	5111	8969
363	5123	8951
364	5135	8935
365	5148	8918
366	5161	8903
367	5175	8888
368	5188	8871
369	5200	8855
370	5214	8840
371	5227	8825
372	5240	8809
373	5254	8794
374	5267	8778
375	5279	8762
376	5292	8746
377	5306	8731
378	5319	8715
379	5332	8700
380	5345	8684
381	5357	8667
382	5370	8651
383	5383	8635
384	5397	8621
385	5410	8606
386	5424	8592
387	5438	8578
388	5452	8564
389	5465	8549
390	5478	8533
391	5492	8518
392	5507	8506
393	5520	8490
394	5535	8477
395	5548	8463
396	5564	8451
397	5579	8439
398	5595	8427
399	5609	8414
400	5624	8401
401	5639	8388
402	5653	8375
403	5669	8363
404	5684	8351
405	5699	8339
406	5715	8327
407	5730	8315
408	5746	8304
409	5762	8292
410	5778	8280
411	5793	8268
412	5808	8256
413	5823	8243
414	5838	8230
415	5853	8217
416	5868	8205
417	5885	8194
418	5902	8184
419	5918	8172
420	5933	8160
421	5949	8149
422	5965	8137
423	5980	8124
424	5995	8111
425	6012	8101
426	6028	8089
427	6042	8075
428	6057	8062
429	6070	8046
430	6083	8031
431	6098	8018
432	6113	8005
433	6128	7992
434	6142	7978
435	6158	7966
436	6173	7952
437	6187	7939
438	6203	7926
439	6217	7913
440	6232	7899
441	6246	7886
442	6261	7873
443	6276	7860
444	6291	7846
445	6305	7832
446	6319	7818
447	6334	7804
448	6347	7789
449	6361	7775
450	6378	7764
451	6391	7749
452	6406	7736
453	6424	7726
454	6439	7713
455	6454	7700
456	6469	7687
457	6485	7675
458	6501	7662
459	6518	7651
460	6533	7638
461	6547	7625
462	6563	7612
463	6582	7604
464	6601	7595
465	6619	7585
466	6637	7576
467	6654	7564
468	6671	7553
469	6687	7540
470	6703	7528
471	6720	7517
472	6738	7507
473	6757	7498
474	6778	7492
475	6797	7483
476	6817	7475
477	6836	7465
478	6854	7455
479	6873	7445
480	6888	7433
481	6904	7420
482	6921	7408
483	6936	7394
484	6950	7380
485	6965	7367
486	6980	7353
487	6994	7338
488	7010	7325
489	7024	7311
490	7038	7296
491	7052	7281
492	7067	7268
493	7081	7253
494	7095	7238
495	7107	7222
496	7118	7204
497	7129	7187
498	7140	7169
499	7153	7153
500	7167	7138
501	7178	7120
502	7188	7102
503	7199	7085
504	7210	7068
505	7222	7050
506	7233	7033
507	7244	7016
508	7256	7000
509	7269	6984
510	7280	6967
511	7291	6949
512	7303	6933
513	7314	6916
514	7326	6899
515	7337	6882
516	7350	6866
517	7360	6849
518	7371	6832
519	7383	6815
520	7394	6798
521	7406	6781
522	7418	6765
523	7429	6748
524	7440	6732
525	7453	6716
526	7464	6699
527	7475	6682
528	7486	6665
529	7497	6648
530	7508	6631
531	7521	6616
532	7532	6600
533	7545	6584
534	7558	6569
535	7570	6553
536	7581	6536
537	7593	6520
538	7605	6504
539	7615	6487
540	7627	6471
541	7639	6455
542	7650	6438
543	7661	6421
544	7672	6405
545	7684	6389
546	7695	6372
547	7706	6356
548	7718	6340
549	7729	6323
550	7740	6307
551	7751	6290
552	7762	6274
553	7773	6257
554	7785	6242
555	7796	6226
556	7807	6209
557	7818	6193
558	7831	6178
559	7845	6164
560	7860	6150
561	7873	6135
562	7885	6120
563	7898	6105
564	7910	6090
565	7921	6074
566	7933	6058
567	7944	6042
568	7955	6026
569	7968	6011
570	7979	5994
571	7990	5979
572	8001	5962
573	8012	5946
574	8025	5931
575	8037	5916
576	8051	5902
577	8064	5887
578	8075	5871
579	8089	5857
580	8101	5842
581	8115	5828
582	8129	5814
583	8143	5800
584	8156	5785
585	8170	5772
586	8183	5758
587	8196	5742
588	8210	5728
589	8222	5713
590	8237	5700
591	8250	5686
592	8264	5672
593	8275	5656
594	8287	5641
595	8299	5625
596	8311	5610
597	8322	5594
598	8334	5579
599	8345	5563
600	8362	5551
601	8377	5538
602	8390	5523
603	8401	5508
604	8413	5492
605	8424	5477
606	8435	5461
607	8446	5445
608	8457	5430
609	8468	5414
610	8481	5399
611	8492	5383
612	8505	5369
613	8516	5353
614	8528	5338
615	8539	5323
616	8550	5307
617	8562	5292
618	8573	5277
619	8585	5262
620	8597	5246
621	8608	5231
622	8621	5217
623	8635	5203
624	8647	5188
625	8659	5173
626	8670	5158
627	8682	5143
628	8694	5128
629	8708	5114
630	8721	5100
631	8734	5085
632	8745	5070
633	8757	5055
634	8770	5041
635	8782	5026
636	8794	5011
637	8805	4996
638	8817	4981
639	8830	4966
640	8841	4951
641	8853	4937
642	8866	4922
643	8880	4908
644	8892	4894
645	8904	4879
646	8918	4865
647	8929	4850
648	8943	4836
649	8956	4822
650	8971	4809
651	8986	4796
652	9000	4782
653	9016	4769
654	9030	4756
655	9043	4742
656	9058	4729
657	9072	4715
658	9086	4701
659	9100	4688
660	9114	4674
661	9126	4659
662	9138	4645
663	9149	4630
