Temperature,Humidity,TVOC,ECO2,Raw H2,Raw Ethanol,Pressure,PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Ptabular,Pfire,Psmoke,Pdetection,FireAlert,SmokeAlert
20.0,57.36,0.0,400.0,12306.0,18520.0,939.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.015,56.67,0.0,400.0,12345.0,18651.0,939.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.029,55.96,0.0,400.0,12374.0,18764.0,939.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.044,55.28,0.0,400.0,12390.0,18849.0,939.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.059,54.69,0.0,400.0,12403.0,18921.0,939.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.073,54.12,0.0,400.0,12419.0,18998.0,939.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.088,53.61,0.0,400.0,12432.0,19058.0,939.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.103,53.2,0.0,400.0,12439.0,19114.0,939.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.117,52.81,0.0,400.0,12448.0,19155.0,939.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20.132,52.46,0.0,400.0,12453.0,19195.0,939.756,0.9,3.78,0.0,4.369,2.78,0.0,0.0,0.0,0.0,0,0
20.146,52.15,0.0,400.0,12454.0,19230.0,939.757,0.89,3.71,0.0,4.289,2.73,0.0,0.0,0.0,0.0,0,0
20.161,51.84,0.0,400.0,12467.0,19264.0,939.754,0.84,3.51,0.0,4.053,2.58,0.0,0.0,0.0,0.0,0,0
20.175,51.62,0.0,400.0,12467.0,19299.0,939.755,0.81,3.38,0.0,3.909,2.488,0.0,0.0,0.0,0.0,0,0
20.19,51.39,0.0,400.0,12469.0,19317.0,939.758,0.74,3.11,0.0,3.588,2.284,0.0,0.0,0.0,0.0,0,0
20.204,51.17,0.0,403.0,12468.0,19338.0,939.742,0.71,2.96,0.0,3.419,2.176,0.0,0.0,0.0,0.0,0,0
20.219,50.99,0.0,400.0,12475.0,19362.0,939.741,0.64,2.66,0.0,3.077,1.959,0.0,0.0,0.0,0.0,0,0
20.233,50.86,0.0,400.0,12480.0,19382.0,939.758,0.6,2.52,0.0,2.908,1.851,0.0,0.0,0.0,0.0,0,0
20.248,50.66,0.0,400.0,12477.0,19400.0,939.764,0.53,2.23,0.0,2.58,1.642,0.0,0.0,0.0,0.0,0,0
20.262,50.49,0.0,400.0,12481.0,19422.0,939.761,0.5,2.1,0.0,2.423,1.542,0.0,0.0,0.0,0.0,0,0
20.277,50.27,0.0,406.0,12489.0,19451.0,939.752,0.41,1.72,0.0,1.987,1.265,0.0,0.0,0.0,0.0,0,0
20.291,50.15,0.0,400.0,12491.0,19456.0,939.729,0.38,1.6,0.0,1.855,1.18,0.0,0.0,0.0,0.0,0,0
20.305,50.02,0.0,400.0,12487.0,19470.0,939.741,0.33,1.39,0.0,1.61,1.024,0.0,0.0,0.0,0.0,0,0
20.32,49.96,0.0,400.0,12492.0,19489.0,939.756,0.31,1.3,0.0,1.497,0.953,0.0,0.0,0.0,0.0,0,0
20.334,49.83,0.0,415.0,12495.0,19489.0,939.764,0.27,1.12,0.0,1.291,0.821,0.0,0.0,0.0,0.0,0,0
20.348,49.76,0.0,400.0,12498.0,19503.0,939.77,0.25,1.04,0.0,1.197,0.762,0.0,0.0,0.0,0.0,0,0
20.363,49.65,0.0,401.0,12499.0,19516.0,939.774,0.21,0.89,0.0,1.026,0.653,0.0,0.0,0.0,0.0,0,0
20.377,49.58,0.0,404.0,12503.0,19525.0,939.771,0.2,0.82,0.0,0.949,0.604,0.0,0.0,0.0,0.0,0,0
20.391,49.37,30.0,445.0,12478.0,19500.0,939.771,0.17,0.58,0.14,0.665,0.398,0.0,0.0,0.0,0.0,0,0
20.406,49.58,36.0,455.0,12472.0,19487.0,939.77,0.16,0.56,0.13,0.644,0.385,0.0,0.0,0.0,0.0,0,0
20.42,50.11,20.0,443.0,12471.0,19493.0,939.775,0.15,0.52,0.12,0.595,0.356,0.0,0.0,0.0,0.0,0,0
20.434,50.68,16.0,435.0,12481.0,19509.0,939.772,0.14,0.5,0.12,0.569,0.34,0.0,0.0,0.0,0.0,0,0
20.448,51.23,8.0,440.0,12482.0,19520.0,939.772,0.13,0.45,0.11,0.514,0.308,0.0,0.0,0.0,0.0,0,0
20.462,51.77,11.0,440.0,12479.0,19515.0,939.762,0.12,0.42,0.1,0.487,0.291,0.0,0.0,0.0,0.0,0,0
20.477,52.28,0.0,420.0,12486.0,19532.0,939.769,0.11,0.38,0.09,0.434,0.259,0.0,0.0,0.0,0.0,0,0
20.491,52.74,0.0,414.0,12489.0,19535.0,939.747,0.1,0.36,0.08,0.408,0.244,0.0,0.0,0.0,0.0,0,0
20.505,53.12,3.0,413.0,12490.0,19541.0,939.754,0.09,0.31,0.07,0.359,0.215,0.0,0.0,0.0,0.0,0,0
20.519,53.5,0.0,410.0,12491.0,19541.0,939.755,0.08,0.29,0.07,0.336,0.201,0.0,0.0,0.5515830516815186,0.5515830516815186,0,0
20.533,53.84,0.0,413.0,12498.0,19552.0,939.747,0.07,0.26,0.06,0.293,0.175,0.0,0.0,0.6041746139526367,0.6041746139526367,0,0
20.547,54.13,0.0,400.0,12498.0,19569.0,939.757,0.07,0.24,0.06,0.273,0.163,0.0,0.0,0.574131965637207,0.574131965637207,0,0
20.561,54.41,6.0,415.0,12491.0,19559.0,939.761,0.06,0.21,0.05,0.236,0.141,0.0,0.0,0.5790838599205017,0.5790838599205017,0,0
20.575,54.67,7.0,406.0,12498.0,19553.0,939.766,0.06,0.19,0.05,0.219,0.131,0.0,0.0,0.5636671781539917,0.5636671781539917,0,0
20.589,54.91,0.0,400.0,12503.0,19578.0,939.765,0.05,0.18,0.04,0.204,0.122,0.0,0.0,0.5868810415267944,0.5868810415267944,0,0
20.603,55.08,0.0,410.0,12497.0,19565.0,939.761,0.04,0.15,0.04,0.175,0.105,0.0,0.0,0.6252092719078064,0.6252092719078064,0,0
20.617,55.28,0.0,400.0,12505.0,19565.0,939.757,0.04,0.14,0.03,0.162,0.097,0.0,0.0,0.6633223295211792,0.6633223295211792,0,0
20.631,55.49,0.0,400.0,12508.0,19581.0,939.762,0.03,0.12,0.03,0.138,0.083,0.0,0.0,0.7037941217422485,0.7037941217422485,0,0
20.645,55.86,8.0,404.0,12501.0,19574.0,939.754,0.03,0.09,0.02,0.1,0.06,0.0,0.0,0.6295557022094727,0.6295557022094727,0,0
20.659,55.99,9.0,406.0,12505.0,19582.0,939.754,0.02,0.08,0.02,0.092,0.055,0.0,0.0,0.7246525287628174,0.7246525287628174,0,0
20.673,56.11,0.0,400.0,12507.0,19585.0,939.745,0.02,0.07,0.02,0.078,0.047,0.0,0.0,0.6502746939659119,0.6502746939659119,0,0
20.687,56.18,0.0,400.0,12514.0,19594.0,939.741,0.02,0.06,0.01,0.072,0.043,0.0,0.0,0.6514385342597961,0.6514385342597961,0,0
20.701,56.32,0.0,408.0,12510.0,19587.0,939.722,0.02,0.05,0.01,0.061,0.036,0.0,0.0,0.6763231158256531,0.6763231158256531,0,0
20.715,56.36,6.0,416.0,12503.0,19580.0,939.711,0.01,0.05,0.01,0.056,0.033,0.0,0.0,0.6488097310066223,0.6488097310066223,0,0
20.729,56.47,14.0,411.0,12508.0,19587.0,939.701,0.01,0.04,0.01,0.047,0.028,0.0,0.0,0.6416611671447754,0.6416611671447754,0,0
20.743,56.55,11.0,404.0,12512.0,19596.0,939.693,0.01,0.04,0.01,0.043,0.026,0.0,0.0,0.6232798099517822,0.6232798099517822,0,0
20.756,56.6,11.0,404.0,12513.0,19591.0,939.707,0.01,0.03,0.01,0.036,0.022,0.0,0.0,0.6398638486862183,0.6398638486862183,0,0
20.77,56.66,4.0,400.0,12514.0,19595.0,939.718,0.01,0.03,0.01,0.033,0.02,0.0,0.0,0.7133068442344666,0.7133068442344666,0,0
20.784,56.91,0.0,400.0,12535.0,19628.0,939.722,0.01,0.02,0.01,0.028,0.017,0.0,0.0,0.7230401635169983,0.7230401635169983,0,0
20.798,56.64,0.0,400.0,12532.0,19626.0,939.721,0.01,0.02,0.01,0.026,0.015,0.0,0.0,0.7003655433654785,0.7003655433654785,0,0
20.812,56.06,0.0,400.0,12538.0,19624.0,939.709,0.44,1.66,0.05,1.906,1.171,0.0,0.0,0.7280192971229553,0.7280192971229553,0,0
20.825,55.38,0.0,400.0,12539.0,19629.0,939.714,0.33,1.24,0.04,1.428,0.877,0.01,0.0,0.709230899810791,0.709230899810791,0,0
20.839,54.75,0.0,401.0,12539.0,19636.0,939.718,0.14,0.52,0.02,0.594,0.365,0.0,0.0,0.7085654139518738,0.7085654139518738,0,0
20.853,54.14,4.0,406.0,12536.0,19627.0,939.719,0.08,0.32,0.01,0.364,0.223,0.0,0.0,0.6141982078552246,0.6141982078552246,0,0
20.867,53.6,11.0,415.0,12529.0,19625.0,939.734,0.23,0.83,0.07,0.95,0.579,0.0,0.5657282471656799,0.0,0.5657282471656799,0,0
20.88,53.11,0.0,400.0,12531.0,19635.0,939.746,0.21,0.78,0.07,0.893,0.545,0.0,0.0,0.0,0.0,0,0
20.894,52.66,0.0,418.0,12536.0,19647.0,939.752,0.18,0.65,0.05,0.742,0.452,0.0,0.0,0.0,0.0,0,0
20.908,52.27,10.0,411.0,12534.0,19635.0,939.76,0.16,0.59,0.05,0.678,0.414,0.0,0.0,0.0,0.0,0,0
20.921,51.94,27.0,415.0,12527.0,19623.0,939.758,0.15,0.54,0.05,0.624,0.381,0.0,0.0,0.0,0.0,0,0
20.935,51.66,18.0,413.0,12530.0,19635.0,939.762,0.13,0.47,0.04,0.541,0.33,0.0,0.0,0.0,0.0,0,0
20.948,51.38,23.0,421.0,12532.0,19631.0,939.779,0.12,0.44,0.04,0.509,0.31,0.0,0.0,0.0,0.0,0,0
20.962,51.16,13.0,407.0,12533.0,19627.0,939.767,0.11,0.39,0.03,0.448,0.273,0.0,0.0,0.0,0.0,0,0
20.976,50.92,7.0,407.0,12536.0,19630.0,939.771,0.1,0.36,0.03,0.419,0.256,0.0,0.0,0.0,0.0,0,0
20.989,50.72,18.0,401.0,12529.0,19622.0,939.77,0.09,0.32,0.03,0.366,0.223,0.0,0.0,0.0,0.0,0,0
21.003,50.55,18.0,412.0,12534.0,19646.0,939.773,0.08,0.3,0.03,0.341,0.208,0.0,0.0,0.0,0.0,0,0
21.016,50.38,18.0,417.0,12529.0,19623.0,939.763,0.07,0.26,0.02,0.295,0.18,0.0,0.0,0.0,0.0,0,0
21.03,50.24,18.0,413.0,12532.0,19626.0,939.772,0.07,0.24,0.02,0.274,0.167,0.0,0.0,0.0,0.0,0,0
21.043,50.1,12.0,410.0,12533.0,19633.0,939.776,0.06,0.21,0.02,0.236,0.144,0.0,0.0,0.0,0.0,0,0
21.057,49.93,20.0,417.0,12526.0,19622.0,939.779,0.05,0.19,0.02,0.219,0.133,0.0,0.0,0.0,0.0,0,0
21.07,49.88,19.0,400.0,12528.0,19620.0,939.777,0.04,0.16,0.01,0.187,0.114,0.0,0.0,0.0,0.0,0,0
21.084,49.74,2.0,405.0,12536.0,19631.0,939.781,0.04,0.15,0.01,0.173,0.106,0.0,0.0,0.0,0.0,0,0
21.097,49.67,16.0,408.0,12536.0,19619.0,939.778,0.04,0.13,0.01,0.148,0.09,0.0,0.0,0.0,0.0,0,0
21.11,49.55,15.0,404.0,12537.0,19631.0,939.764,0.03,0.12,0.01,0.136,0.083,0.0,0.0,0.0,0.0,0,0
21.124,49.47,18.0,405.0,12534.0,19631.0,939.772,0.03,0.1,0.01,0.116,0.071,0.0,0.0,0.0,0.0,0,0
21.137,49.44,6.0,400.0,12540.0,19638.0,939.777,0.03,0.09,0.01,0.106,0.065,0.0,0.0,0.0,0.0,0,0
21.15,49.39,7.0,407.0,12540.0,19638.0,939.776,0.02,0.08,0.01,0.09,0.055,0.0,0.0,0.0,0.0,0,0
21.164,49.31,12.0,420.0,12533.0,19630.0,939.784,0.02,0.07,0.01,0.083,0.051,0.0,0.0,0.0,0.0,0,0
21.177,49.21,15.0,420.0,12536.0,19622.0,939.787,0.02,0.06,0.01,0.07,0.043,0.0,0.0,0.0,0.0,0,0
21.19,49.07,41.0,448.0,12515.0,19596.0,939.779,0.02,0.06,0.0,0.064,0.039,0.0,0.0,0.0,0.0,0,0
21.204,49.29,45.0,453.0,12516.0,19609.0,939.784,0.01,0.05,0.0,0.059,0.036,0.0,0.0,0.0,0.0,0,0
21.217,49.81,54.0,462.0,12510.0,19599.0,939.787,0.01,0.04,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0,0
21.23,50.45,33.0,448.0,12517.0,19610.0,939.782,0.01,0.04,0.0,0.046,0.028,0.0,0.0,0.0,0.0,0,0
21.243,51.03,42.0,439.0,12519.0,19608.0,939.781,0.01,0.03,0.0,0.038,0.023,0.0,0.0,0.0,0.0,0,0
21.257,51.56,34.0,437.0,12512.0,19606.0,939.775,0.01,0.03,0.0,0.035,0.021,0.0,0.0,0.0,0.0,0,0
21.27,52.04,26.0,441.0,12527.0,19617.0,939.78,0.01,0.03,0.0,0.029,0.018,0.0,0.0,0.0,0.0,0,0
21.283,52.54,18.0,422.0,12525.0,19619.0,939.788,0.01,0.02,0.0,0.027,0.016,0.0,0.0,0.0,0.0,0,0
21.296,52.92,35.0,438.0,12526.0,19615.0,939.791,0.01,0.02,0.0,0.023,0.014,0.0,0.0,0.0,0.0,0,0
21.309,53.32,27.0,424.0,12522.0,19618.0,939.792,0.0,0.02,0.0,0.021,0.013,0.0,0.0,0.0,0.0,0,0
21.323,53.65,23.0,419.0,12528.0,19619.0,939.799,0.22,0.69,0.39,0.788,0.449,0.0,0.0,0.0,0.0,0,0
21.336,53.96,33.0,421.0,12524.0,19614.0,939.801,0.2,0.63,0.36,0.718,0.409,0.0,0.0,0.5515168905258179,0.5515168905258179,0,0
21.349,54.25,21.0,417.0,12530.0,19610.0,939.795,0.16,0.49,0.28,0.561,0.32,0.0,0.6765744090080261,0.0,0.6765744090080261,0,0
21.362,54.52,19.0,418.0,12529.0,19626.0,939.799,0.14,0.44,0.25,0.501,0.286,0.0,0.0,0.0,0.0,0,0
21.375,54.74,14.0,405.0,12533.0,19624.0,939.784,0.12,0.36,0.21,0.414,0.236,0.0,0.7051375508308411,0.0,0.7051375508308411,0,0
21.388,54.95,19.0,414.0,12527.0,19613.0,939.796,0.11,0.33,0.19,0.382,0.218,0.0,0.0,0.0,0.0,0,0
21.401,55.16,20.0,408.0,12532.0,19621.0,939.775,0.09,0.29,0.17,0.332,0.189,0.0,0.6862562298774719,0.0,0.6862562298774719,0,0
